Aerodynamics,,,,,,
Input,Unit,Value,Description,,,
wingarea,ft^2,,Total surface area of the wing,,,
wingspan,ft,,total length of the wing,,,
chord,ft ,,Chord length of the wing (avg),,,
htailarea,ft^2,,Surface area of horizontal tail (if applicable),,,
vtailarea,ft^2,,Surface area of vertical tail (if applicable),,,
,,,,,,
,,,,,,
,,,,,,
Look Up Tables,,,,,,"Start: To start lets do all look up tables at 10,000 ft , 0 side slip, 0 alpha, Mach 0.8, also open to whatever aero team is using to evaluate"
Table,dim 1,dim 2,dim 3,,,
Cdalpha,alpha,Cdalpha,,Drag due to alpha,,
Cd0,Cd0,,,Parasitic Drag,,
Cdmach,mach,Cdmach,,Drag due to mach,,
Cdbeta,beta,Cdbeta, ,Drag due to side slip,,
Clalpha,,,,,,
